Phrase,Language,Intent,Tier,Shelf (localized),Shelf (en),Target URL
libros sobre el llamado del evangelio,es,Collection,1,El llamado del evangelio,The Gospel Call,https://ochorus.com/es/topics/the-gospel-call
mejores libros sobre el llamado del evangelio,es,Best-of,2,El llamado del evangelio,The Gospel Call,https://ochorus.com/es/topics/the-gospel-call
los clásicos perdurables,es,Theme term,1,Los clásicos perdurables,The Enduring Classics,https://ochorus.com/es/topics/enduring-classics
libros sobre los clásicos perdurables,es,Collection,1,Los clásicos perdurables,The Enduring Classics,https://ochorus.com/es/topics/enduring-classics
mejores libros sobre los clásicos perdurables,es,Best-of,2,Los clásicos perdurables,The Enduring Classics,https://ochorus.com/es/topics/enduring-classics
el camino de la santidad,es,Theme term,1,El camino de la santidad,The Way of Holiness,https://ochorus.com/es/topics/the-way-of-holiness
libros sobre el camino de la santidad,es,Collection,1,El camino de la santidad,The Way of Holiness,https://ochorus.com/es/topics/the-way-of-holiness
mejores libros sobre el camino de la santidad,es,Best-of,2,El camino de la santidad,The Way of Holiness,https://ochorus.com/es/topics/the-way-of-holiness
la palabra predicada,es,Theme term,1,La palabra predicada,The Preached Word,https://ochorus.com/es/topics/the-preached-word
libros sobre la palabra predicada,es,Collection,1,La palabra predicada,The Preached Word,https://ochorus.com/es/topics/the-preached-word
mejores libros sobre la palabra predicada,es,Best-of,2,La palabra predicada,The Preached Word,https://ochorus.com/es/topics/the-preached-word
cristo y la cruz,es,Theme term,1,Cristo y la cruz,Christ & the Cross,https://ochorus.com/es/topics/christ-and-the-cross
libros sobre cristo y la cruz,es,Collection,1,Cristo y la cruz,Christ & the Cross,https://ochorus.com/es/topics/christ-and-the-cross
mejores libros sobre cristo y la cruz,es,Best-of,2,Cristo y la cruz,Christ & the Cross,https://ochorus.com/es/topics/christ-and-the-cross
permanecer en cristo,es,Theme term,1,Permanecer en Cristo,Abiding in Christ,https://ochorus.com/es/topics/abiding-in-christ
libros sobre permanecer en cristo,es,Collection,1,Permanecer en Cristo,Abiding in Christ,https://ochorus.com/es/topics/abiding-in-christ
mejores libros sobre permanecer en cristo,es,Best-of,2,Permanecer en Cristo,Abiding in Christ,https://ochorus.com/es/topics/abiding-in-christ
mujeres de fe,es,Theme term,1,Mujeres de fe,Women of Faith,https://ochorus.com/es/topics/women-of-faith
libros sobre mujeres de fe,es,Collection,1,Mujeres de fe,Women of Faith,https://ochorus.com/es/topics/women-of-faith
mejores libros sobre mujeres de fe,es,Best-of,2,Mujeres de fe,Women of Faith,https://ochorus.com/es/topics/women-of-faith
la gracia de dios,es,Theme term,1,La gracia de Dios,The Grace of God,https://ochorus.com/es/topics/the-grace-of-god
libros sobre la gracia de dios,es,Collection,1,La gracia de Dios,The Grace of God,https://ochorus.com/es/topics/the-grace-of-god
mejores libros sobre la gracia de dios,es,Best-of,2,La gracia de Dios,The Grace of God,https://ochorus.com/es/topics/the-grace-of-god
maombi,sw,Theme term,1,Kuhusu Maombi,On Prayer,https://ochorus.com/sw/topics/prayer
vitabu kuhusu maombi,sw,Collection,1,Kuhusu Maombi,On Prayer,https://ochorus.com/sw/topics/prayer
vitabu bora kuhusu maombi,sw,Best-of,2,Kuhusu Maombi,On Prayer,https://ochorus.com/sw/topics/prayer
roho mtakatifu,sw,Theme term,1,Roho Mtakatifu,The Holy Spirit,https://ochorus.com/sw/topics/holy-spirit
vitabu kuhusu roho mtakatifu,sw,Collection,1,Roho Mtakatifu,The Holy Spirit,https://ochorus.com/sw/topics/holy-spirit
vitabu bora kuhusu roho mtakatifu,sw,Best-of,2,Roho Mtakatifu,The Holy Spirit,https://ochorus.com/sw/topics/holy-spirit
maisha ya ndani zaidi,sw,Theme term,1,Maisha ya Ndani Zaidi,The Deeper Life,https://ochorus.com/sw/topics/deeper-life
vitabu kuhusu maisha ya ndani zaidi,sw,Collection,1,Maisha ya Ndani Zaidi,The Deeper Life,https://ochorus.com/sw/topics/deeper-life
vitabu bora kuhusu maisha ya ndani zaidi,sw,Best-of,2,Maisha ya Ndani Zaidi,The Deeper Life,https://ochorus.com/sw/topics/deeper-life
neema na faraja,sw,Theme term,1,Neema na Faraja,Grace & Comfort,https://ochorus.com/sw/topics/grace-and-comfort
vitabu kuhusu neema na faraja,sw,Collection,1,Neema na Faraja,Grace & Comfort,https://ochorus.com/sw/topics/grace-and-comfort
vitabu bora kuhusu neema na faraja,sw,Best-of,2,Neema na Faraja,Grace & Comfort,https://ochorus.com/sw/topics/grace-and-comfort
uamsho na umisheni,sw,Theme term,1,Uamsho na Umisheni,Revival & Missions,https://ochorus.com/sw/topics/revival-and-missions
vitabu kuhusu uamsho na umisheni,sw,Collection,1,Uamsho na Umisheni,Revival & Missions,https://ochorus.com/sw/topics/revival-and-missions
vitabu bora kuhusu uamsho na umisheni,sw,Best-of,2,Uamsho na Umisheni,Revival & Missions,https://ochorus.com/sw/topics/revival-and-missions
imani na uongozi,sw,Theme term,1,Imani na Uongozi,Faith & Guidance,https://ochorus.com/sw/topics/faith-and-guidance
vitabu kuhusu imani na uongozi,sw,Collection,1,Imani na Uongozi,Faith & Guidance,https://ochorus.com/sw/topics/faith-and-guidance
vitabu bora kuhusu imani na uongozi,sw,Best-of,2,Imani na Uongozi,Faith & Guidance,https://ochorus.com/sw/topics/faith-and-guidance
wito wa injili,sw,Theme term,1,Wito wa Injili,The Gospel Call,https://ochorus.com/sw/topics/the-gospel-call
vitabu kuhusu wito wa injili,sw,Collection,1,Wito wa Injili,The Gospel Call,https://ochorus.com/sw/topics/the-gospel-call
vitabu bora kuhusu wito wa injili,sw,Best-of,2,Wito wa Injili,The Gospel Call,https://ochorus.com/sw/topics/the-gospel-call
vitabu vya kale vidumuvyo,sw,Theme term,1,Vitabu vya Kale Vidumuvyo,The Enduring Classics,https://ochorus.com/sw/topics/enduring-classics
vitabu kuhusu vitabu vya kale vidumuvyo,sw,Collection,1,Vitabu vya Kale Vidumuvyo,The Enduring Classics,https://ochorus.com/sw/topics/enduring-classics
vitabu bora kuhusu vitabu vya kale vidumuvyo,sw,Best-of,2,Vitabu vya Kale Vidumuvyo,The Enduring Classics,https://ochorus.com/sw/topics/enduring-classics
njia ya utakatifu,sw,Theme term,1,Njia ya Utakatifu,The Way of Holiness,https://ochorus.com/sw/topics/the-way-of-holiness
vitabu kuhusu njia ya utakatifu,sw,Collection,1,Njia ya Utakatifu,The Way of Holiness,https://ochorus.com/sw/topics/the-way-of-holiness
vitabu bora kuhusu njia ya utakatifu,sw,Best-of,2,Njia ya Utakatifu,The Way of Holiness,https://ochorus.com/sw/topics/the-way-of-holiness
neno lihubiriwalo,sw,Theme term,1,Neno Lihubiriwalo,The Preached Word,https://ochorus.com/sw/topics/the-preached-word
vitabu kuhusu neno lihubiriwalo,sw,Collection,1,Neno Lihubiriwalo,The Preached Word,https://ochorus.com/sw/topics/the-preached-word
vitabu bora kuhusu neno lihubiriwalo,sw,Best-of,2,Neno Lihubiriwalo,The Preached Word,https://ochorus.com/sw/topics/the-preached-word
kristo na msalaba,sw,Theme term,1,Kristo na msalaba,Christ & the Cross,https://ochorus.com/sw/topics/christ-and-the-cross
vitabu kuhusu kristo na msalaba,sw,Collection,1,Kristo na msalaba,Christ & the Cross,https://ochorus.com/sw/topics/christ-and-the-cross
vitabu bora kuhusu kristo na msalaba,sw,Best-of,2,Kristo na msalaba,Christ & the Cross,https://ochorus.com/sw/topics/christ-and-the-cross
a oração,pt,Theme term,1,Sobre a Oração,On Prayer,https://ochorus.com/pt/topics/prayer
livros sobre a oração,pt,Collection,1,Sobre a Oração,On Prayer,https://ochorus.com/pt/topics/prayer
melhores livros sobre a oração,pt,Best-of,2,Sobre a Oração,On Prayer,https://ochorus.com/pt/topics/prayer
o espírito santo,pt,Theme term,1,O Espírito Santo,The Holy Spirit,https://ochorus.com/pt/topics/holy-spirit
livros sobre o espírito santo,pt,Collection,1,O Espírito Santo,The Holy Spirit,https://ochorus.com/pt/topics/holy-spirit
melhores livros sobre o espírito santo,pt,Best-of,2,O Espírito Santo,The Holy Spirit,https://ochorus.com/pt/topics/holy-spirit
a vida mais profunda,pt,Theme term,1,A Vida Mais Profunda,The Deeper Life,https://ochorus.com/pt/topics/deeper-life
livros sobre a vida mais profunda,pt,Collection,1,A Vida Mais Profunda,The Deeper Life,https://ochorus.com/pt/topics/deeper-life
melhores livros sobre a vida mais profunda,pt,Best-of,2,A Vida Mais Profunda,The Deeper Life,https://ochorus.com/pt/topics/deeper-life
graça e consolo,pt,Theme term,1,Graça e Consolo,Grace & Comfort,https://ochorus.com/pt/topics/grace-and-comfort
livros sobre graça e consolo,pt,Collection,1,Graça e Consolo,Grace & Comfort,https://ochorus.com/pt/topics/grace-and-comfort
melhores livros sobre graça e consolo,pt,Best-of,2,Graça e Consolo,Grace & Comfort,https://ochorus.com/pt/topics/grace-and-comfort
avivamento e missões,pt,Theme term,1,Avivamento e Missões,Revival & Missions,https://ochorus.com/pt/topics/revival-and-missions
livros sobre avivamento e missões,pt,Collection,1,Avivamento e Missões,Revival & Missions,https://ochorus.com/pt/topics/revival-and-missions
melhores livros sobre avivamento e missões,pt,Best-of,2,Avivamento e Missões,Revival & Missions,https://ochorus.com/pt/topics/revival-and-missions
fé e direção,pt,Theme term,1,Fé e Direção,Faith & Guidance,https://ochorus.com/pt/topics/faith-and-guidance
livros sobre fé e direção,pt,Collection,1,Fé e Direção,Faith & Guidance,https://ochorus.com/pt/topics/faith-and-guidance
melhores livros sobre fé e direção,pt,Best-of,2,Fé e Direção,Faith & Guidance,https://ochorus.com/pt/topics/faith-and-guidance
o chamado do evangelho,pt,Theme term,1,O Chamado do Evangelho,The Gospel Call,https://ochorus.com/pt/topics/the-gospel-call
livros sobre o chamado do evangelho,pt,Collection,1,O Chamado do Evangelho,The Gospel Call,https://ochorus.com/pt/topics/the-gospel-call
melhores livros sobre o chamado do evangelho,pt,Best-of,2,O Chamado do Evangelho,The Gospel Call,https://ochorus.com/pt/topics/the-gospel-call
os clássicos duradouros,pt,Theme term,1,Os Clássicos Duradouros,The Enduring Classics,https://ochorus.com/pt/topics/enduring-classics
livros sobre os clássicos duradouros,pt,Collection,1,Os Clássicos Duradouros,The Enduring Classics,https://ochorus.com/pt/topics/enduring-classics
melhores livros sobre os clássicos duradouros,pt,Best-of,2,Os Clássicos Duradouros,The Enduring Classics,https://ochorus.com/pt/topics/enduring-classics
o caminho da santidade,pt,Theme term,1,O Caminho da Santidade,The Way of Holiness,https://ochorus.com/pt/topics/the-way-of-holiness
livros sobre o caminho da santidade,pt,Collection,1,O Caminho da Santidade,The Way of Holiness,https://ochorus.com/pt/topics/the-way-of-holiness
melhores livros sobre o caminho da santidade,pt,Best-of,2,O Caminho da Santidade,The Way of Holiness,https://ochorus.com/pt/topics/the-way-of-holiness
a palavra pregada,pt,Theme term,1,A Palavra Pregada,The Preached Word,https://ochorus.com/pt/topics/the-preached-word
livros sobre a palavra pregada,pt,Collection,1,A Palavra Pregada,The Preached Word,https://ochorus.com/pt/topics/the-preached-word
melhores livros sobre a palavra pregada,pt,Best-of,2,A Palavra Pregada,The Preached Word,https://ochorus.com/pt/topics/the-preached-word
cristo e a cruz,pt,Theme term,1,Cristo e a cruz,Christ & the Cross,https://ochorus.com/pt/topics/christ-and-the-cross
livros sobre cristo e a cruz,pt,Collection,1,Cristo e a cruz,Christ & the Cross,https://ochorus.com/pt/topics/christ-and-the-cross
melhores livros sobre cristo e a cruz,pt,Best-of,2,Cristo e a cruz,Christ & the Cross,https://ochorus.com/pt/topics/christ-and-the-cross
permanecer em cristo,pt,Theme term,1,Permanecer em Cristo,Abiding in Christ,https://ochorus.com/pt/topics/abiding-in-christ
livros sobre permanecer em cristo,pt,Collection,1,Permanecer em Cristo,Abiding in Christ,https://ochorus.com/pt/topics/abiding-in-christ
melhores livros sobre permanecer em cristo,pt,Best-of,2,Permanecer em Cristo,Abiding in Christ,https://ochorus.com/pt/topics/abiding-in-christ
mulheres de fé,pt,Theme term,1,Mulheres de Fé,Women of Faith,https://ochorus.com/pt/topics/women-of-faith
livros sobre mulheres de fé,pt,Collection,1,Mulheres de Fé,Women of Faith,https://ochorus.com/pt/topics/women-of-faith
melhores livros sobre mulheres de fé,pt,Best-of,2,Mulheres de Fé,Women of Faith,https://ochorus.com/pt/topics/women-of-faith
a graça de deus,pt,Theme term,1,A Graça de Deus,The Grace of God,https://ochorus.com/pt/topics/the-grace-of-god
livros sobre a graça de deus,pt,Collection,1,A Graça de Deus,The Grace of God,https://ochorus.com/pt/topics/the-grace-of-god
melhores livros sobre a graça de deus,pt,Best-of,2,A Graça de Deus,The Grace of God,https://ochorus.com/pt/topics/the-grace-of-god
प्रार्थना,hi,Theme term,1,प्रार्थना के विषय में,On Prayer,https://ochorus.com/hi/topics/prayer
प्रार्थना पर किताबें,hi,Collection,1,प्रार्थना के विषय में,On Prayer,https://ochorus.com/hi/topics/prayer
प्रार्थना पर सर्वश्रेष्ठ किताबें,hi,Best-of,2,प्रार्थना के विषय में,On Prayer,https://ochorus.com/hi/topics/prayer
पवित्र आत्मा,hi,Theme term,1,पवित्र आत्मा,The Holy Spirit,https://ochorus.com/hi/topics/holy-spirit
पवित्र आत्मा पर किताबें,hi,Collection,1,पवित्र आत्मा,The Holy Spirit,https://ochorus.com/hi/topics/holy-spirit
पवित्र आत्मा पर सर्वश्रेष्ठ किताबें,hi,Best-of,2,पवित्र आत्मा,The Holy Spirit,https://ochorus.com/hi/topics/holy-spirit
गहरा जीवन,hi,Theme term,1,गहरा जीवन,The Deeper Life,https://ochorus.com/hi/topics/deeper-life
गहरा जीवन पर किताबें,hi,Collection,1,गहरा जीवन,The Deeper Life,https://ochorus.com/hi/topics/deeper-life
गहरा जीवन पर सर्वश्रेष्ठ किताबें,hi,Best-of,2,गहरा जीवन,The Deeper Life,https://ochorus.com/hi/topics/deeper-life
अनुग्रह और शान्ति,hi,Theme term,1,अनुग्रह और शान्ति,Grace & Comfort,https://ochorus.com/hi/topics/grace-and-comfort
अनुग्रह और शान्ति पर किताबें,hi,Collection,1,अनुग्रह और शान्ति,Grace & Comfort,https://ochorus.com/hi/topics/grace-and-comfort
अनुग्रह और शान्ति पर सर्वश्रेष्ठ किताबें,hi,Best-of,2,अनुग्रह और शान्ति,Grace & Comfort,https://ochorus.com/hi/topics/grace-and-comfort
जागृति और मिशन,hi,Theme term,1,जागृति और मिशन,Revival & Missions,https://ochorus.com/hi/topics/revival-and-missions
जागृति और मिशन पर किताबें,hi,Collection,1,जागृति और मिशन,Revival & Missions,https://ochorus.com/hi/topics/revival-and-missions
जागृति और मिशन पर सर्वश्रेष्ठ किताबें,hi,Best-of,2,जागृति और मिशन,Revival & Missions,https://ochorus.com/hi/topics/revival-and-missions
विश्वास और अगुवाई,hi,Theme term,1,विश्वास और अगुवाई,Faith & Guidance,https://ochorus.com/hi/topics/faith-and-guidance
विश्वास और अगुवाई पर किताबें,hi,Collection,1,विश्वास और अगुवाई,Faith & Guidance,https://ochorus.com/hi/topics/faith-and-guidance
विश्वास और अगुवाई पर सर्वश्रेष्ठ किताबें,hi,Best-of,2,विश्वास और अगुवाई,Faith & Guidance,https://ochorus.com/hi/topics/faith-and-guidance
सुसमाचार का बुलावा,hi,Theme term,1,सुसमाचार का बुलावा,The Gospel Call,https://ochorus.com/hi/topics/the-gospel-call
सुसमाचार का बुलावा पर किताबें,hi,Collection,1,सुसमाचार का बुलावा,The Gospel Call,https://ochorus.com/hi/topics/the-gospel-call
सुसमाचार का बुलावा पर सर्वश्रेष्ठ किताबें,hi,Best-of,2,सुसमाचार का बुलावा,The Gospel Call,https://ochorus.com/hi/topics/the-gospel-call
चिरस्थायी क्लासिक,hi,Theme term,1,चिरस्थायी क्लासिक,The Enduring Classics,https://ochorus.com/hi/topics/enduring-classics
चिरस्थायी क्लासिक पर किताबें,hi,Collection,1,चिरस्थायी क्लासिक,The Enduring Classics,https://ochorus.com/hi/topics/enduring-classics
चिरस्थायी क्लासिक पर सर्वश्रेष्ठ किताबें,hi,Best-of,2,चिरस्थायी क्लासिक,The Enduring Classics,https://ochorus.com/hi/topics/enduring-classics
पवित्रता का मार्ग,hi,Theme term,1,पवित्रता का मार्ग,The Way of Holiness,https://ochorus.com/hi/topics/the-way-of-holiness
पवित्रता का मार्ग पर किताबें,hi,Collection,1,पवित्रता का मार्ग,The Way of Holiness,https://ochorus.com/hi/topics/the-way-of-holiness
पवित्रता का मार्ग पर सर्वश्रेष्ठ किताबें,hi,Best-of,2,पवित्रता का मार्ग,The Way of Holiness,https://ochorus.com/hi/topics/the-way-of-holiness
प्रचार किया गया वचन,hi,Theme term,1,प्रचार किया गया वचन,The Preached Word,https://ochorus.com/hi/topics/the-preached-word
प्रचार किया गया वचन पर किताबें,hi,Collection,1,प्रचार किया गया वचन,The Preached Word,https://ochorus.com/hi/topics/the-preached-word
प्रचार किया गया वचन पर सर्वश्रेष्ठ किताबें,hi,Best-of,2,प्रचार किया गया वचन,The Preached Word,https://ochorus.com/hi/topics/the-preached-word
मसीह और क्रूस,hi,Theme term,1,मसीह और क्रूस,Christ & the Cross,https://ochorus.com/hi/topics/christ-and-the-cross
मसीह और क्रूस पर किताबें,hi,Collection,1,मसीह और क्रूस,Christ & the Cross,https://ochorus.com/hi/topics/christ-and-the-cross
मसीह और क्रूस पर सर्वश्रेष्ठ किताबें,hi,Best-of,2,मसीह और क्रूस,Christ & the Cross,https://ochorus.com/hi/topics/christ-and-the-cross
